"Categorie","jan2021","feb2021","mar2021","apr2021","mei2021","jun2021","jul2021","aug2021","sep2021","okt2021","nov2021","dec2021","heel2021"
"4000 - Bruto loon","73194.51","","","","","","","","","","","","73194.51"
"40004 - Overwerk","700.97","","","","","","","","","","","","700.97"
"40016 - Subsidie personeelskosten","-16004","","","","","","","","","","","","-16004"
"4008 - Kosten vakantiegeld","6437.7","","","","","","","","","","","","6437.7"
"40151 - Pensioenpremies","706.3","","","","","","","","","","","","706.3"
"40313 - Reiskostenverg.belast","12.06","","","","","","","","","","","","12.06"
"40381 - Reiskostenverg. Onbelast","2721.52","","","","","","","","","","","","2721.52"
"4040 - Sociale lasten","15302.1","","","","","","","","","","","","15302.1"
"4042 - Pensioenpremies","1417.44","2687.48","","","","","","","","","","","4104.92"
"4100 - Huur Houten","4029","4029","","","","","","","","","","","8058"
"4120 - Schoonmaakkosten","499.17","912.51","","","","","","","","","","","1411.68"
"4130 - Afval (container)","5.39","5.39","","","","","","","","","","","10.78"
"4190 - Overige huisvestingskosten","193.44","","","","","","","","","","","","193.44"
"4299 - Betalingsverschillen inkoop/verkoop","0.7","","","","","","","","","","","","0.7"
"4300 - Trajectum Boosting B.V","-11910.77","985.27","1631.02","","","","","","","","","","-9294.48"
"4301 - VST Fire Solutions BV","2036.48","2332.57","2304.98","","","","","","","","","","6674.03"
"4310 - Porti","","40","","","","","","","","","","","40"
"4311 - Assurantiepremie","3378.57","1485.11","","","","","","","","","","","4863.68"
"4320 - Vergoeding woon-werk","377.05","377.05","","","","","","","","","","","754.1"
"4340 - Studie en opleiding","","1182","","","","","","","","","","","1182"
"4345 - Coaching","542","","","","","","","","","","","","542"
"4346 - Training","706.42","","","","","","","","","","","","706.42"
"43507 - Betalingsverschillen inkoop","","-0.6","","","","","","","","","","","-0.6"
"4370 - Kantinekosten Houten","382.72","702.46","","","","","","","","","","","1085.18"
"4400 - Brandstoffen TE","1071.26","815.65","164.43","","","","","","","","","","2051.34"
"4410 - Onderhoud auto","","156.58","","","","","","","","","","","156.58"
"44106 - Bijdrage werknemers leaseregeling","","-2798.09","","","","","","","","","","","-2798.09"
"4440 - Leasekosten","4697.11","4860.01","2143.47","","","","","","","","","","11700.59"
"4470 - Boetes en bekeuringen","-34.12","","","","","","","","","","","","-34.12"
"4481 - Eigen bijdrage leaseauto","-463","","","","","","","","","","","","-463"
"45013 - Verkoopprovisie","216.67","216.67","","","","","","","","","","","433.34"
"4515 - Relatiegeschenken","113.49","96.55","","","","","","","","","","","210.04"
"4525 - Zakelijke diners/overwerk eten","84.11","123.41","","","","","","","","","","","207.52"
"4600 - Kantoorbenodigdheden","803.53","629.08","","","","","","","","","","","1432.61"
"4607 - Computerkosten/ICT","340.2","945.2","","","","","","","","","","","1285.4"
"4610 - Vakliteratuur","28.71","","","","","","","","","","","","28.71"
"4630 - Vaste telefonie","52.55","58.01","","","","","","","","","","","110.56"
"4631 - Mobiele telefonie","326.4","18.99","","","","","","","","","","","345.39"
"4635 - Internet, reclame","37.76","11.96","","","","","","","","","","","49.72"
"4640 - BIM software & licenties","12679.4","2900","","","","","","","","","","","15579.4"
"4641 - Kennisbank licenties & software","765.34","897.86","","","","","","","","","","","1663.2"
"4650 - Contributies & abonnementen","473.33","","","","","","","","","","","","473.33"
"4689 - Kantoorkosten Diensten Binnen EU","432.56","279.42","","","","","","","","","","","711.98"
"4700 - Managementfee","10000","","","","","","","","","","","","10000"
"4710 - Accountantskosten","619","948.75","","","","","","","","","","","1567.75"
"4715 - Advieskosten","650","","","","","","","","","","","","650"
"4718 - Marketing","4277.99","820","","","","","","","","","","","5097.99"
"4820 - Bankkosten","55.73","52.03","","","","","","","","","","","107.76"
"8000 - Omzet BI","-195451.61","-225805.57","","","","","","","","","","","-421257.18"
"Resultaat","73494.82","200035.25","-6243.9","","","","","","","","","","267286.17"

